"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 18:53:14,20.17
2023-04-27 18:53:16,20.13
2023-04-27 18:53:18,25.59
2023-04-27 18:53:20,31.21
2023-04-27 18:53:22,37.02
2023-04-27 18:53:24,43.01
2023-04-27 18:53:26,48.90
2023-04-27 18:53:28,54.87
2023-04-27 18:53:30,60.72
2023-04-27 18:53:32,66.60
2023-04-27 18:53:34,72.68
2023-04-27 18:53:36,78.68
2023-04-27 18:53:38,84.44
2023-04-27 18:53:40,90.54
2023-04-27 18:53:42,96.31
2023-04-27 18:53:44,100.11
2023-04-27 18:53:46,103.28
2023-04-27 18:53:48,106.05
2023-04-27 18:53:50,108.28
2023-04-27 18:53:52,111.32
2023-04-27 18:53:54,114.86
2023-04-27 18:53:56,118.71
2023-04-27 18:53:58,122.62
2023-04-27 18:54:00,126.11
2023-04-27 18:54:02,130.00
2023-04-27 18:54:04,134.36
2023-04-27 18:54:06,138.15
2023-04-27 18:54:08,141.78
2023-04-27 18:54:10,145.83
2023-04-27 18:54:12,149.91
2023-04-27 18:54:14,154.20
2023-04-27 18:54:16,158.48
2023-04-27 18:54:18,162.33
2023-04-27 18:54:20,166.62
2023-04-27 18:54:22,170.55
2023-04-27 18:54:24,173.91
2023-04-27 18:54:26,178.38
2023-04-27 18:54:28,183.19
2023-04-27 18:54:30,187.69
2023-04-27 18:54:32,192.05
2023-04-27 18:54:34,196.98
2023-04-27 18:54:36,201.98
2023-04-27 18:54:38,206.26
2023-04-27 18:54:40,211.01
2023-04-27 18:54:42,216.24
2023-04-27 18:54:44,221.31
2023-04-27 18:54:46,226.55
2023-04-27 18:54:48,231.98
2023-04-27 18:54:50,237.40
2023-04-27 18:54:52,242.93
2023-04-27 18:54:54,248.46
2023-04-27 18:54:56,252.55
2023-04-27 18:54:58,257.88
2023-04-27 18:55:00,263.45
2023-04-27 18:55:02,268.83
2023-04-27 18:55:04,274.45
2023-04-27 18:55:06,279.97
2023-04-27 18:55:08,285.41
2023-04-27 18:55:10,290.94
2023-04-27 18:55:12,296.46
2023-04-27 18:55:14,301.86
2023-04-27 18:55:16,307.38
2023-04-27 18:55:18,312.88
2023-04-27 18:55:20,318.44
2023-04-27 18:55:22,324.20
2023-04-27 18:55:24,329.91
2023-04-27 18:55:26,335.70
2023-04-27 18:55:28,338.99
2023-04-27 18:55:30,344.38
2023-04-27 18:55:32,349.26
2023-04-27 18:55:34,353.84
2023-04-27 18:55:36,359.40
2023-04-27 18:55:38,365.11
2023-04-27 18:55:40,370.30
2023-04-27 18:55:42,375.74
2023-04-27 18:55:44,381.58
2023-04-27 18:55:46,387.23
2023-04-27 18:55:48,392.58
2023-04-27 18:55:50,397.30
2023-04-27 18:55:52,403.20
2023-04-27 18:55:54,409.02
2023-04-27 18:55:56,414.92
2023-04-27 18:55:58,420.45
2023-04-27 18:56:00,423.96
2023-04-27 18:56:02,429.56
2023-04-27 18:56:04,435.37
2023-04-27 18:56:06,441.02
2023-04-27 18:56:08,446.49
2023-04-27 18:56:10,452.25
2023-04-27 18:56:12,458.11
2023-04-27 18:56:14,463.95
2023-04-27 18:56:16,469.44
2023-04-27 18:56:18,474.17
2023-04-27 18:56:20,478.38
2023-04-27 18:56:22,483.35
2023-04-27 18:56:24,488.47
2023-04-27 18:56:26,492.62
2023-04-27 18:56:28,497.27
2023-04-27 18:56:30,501.55
2023-04-27 18:56:32,505.04
2023-04-27 18:56:34,509.22
2023-04-27 18:56:36,513.58
2023-04-27 18:56:38,518.06
2023-04-27 18:56:40,522.45
2023-04-27 18:56:42,526.73
2023-04-27 18:56:44,531.18
2023-04-27 18:56:46,535.41
2023-04-27 18:56:48,540.00
2023-04-27 18:56:50,544.49
2023-04-27 18:56:52,549.68
2023-04-27 18:56:54,555.06
2023-04-27 18:56:56,560.30
2023-04-27 18:56:58,564.60
2023-04-27 18:57:00,569.37
2023-04-27 18:57:02,573.61
2023-04-27 18:57:04,577.63
2023-04-27 18:57:06,582.17
2023-04-27 18:57:08,587.37
2023-04-27 18:57:10,592.39
2023-04-27 18:57:12,597.05
2023-04-27 18:57:14,601.69
2023-04-27 18:57:16,606.52
2023-04-27 18:57:18,611.31
2023-04-27 18:57:20,616.26
2023-04-27 18:57:22,620.91
2023-04-27 18:57:24,626.33
2023-04-27 18:57:26,631.82
2023-04-27 18:57:28,636.51
2023-04-27 18:57:30,641.12
2023-04-27 18:57:32,645.77
2023-04-27 18:57:34,649.28
2023-04-27 18:57:36,653.82
2023-04-27 18:57:38,659.18
2023-04-27 18:57:40,664.43
2023-04-27 18:57:42,669.23
2023-04-27 18:57:44,673.47
2023-04-27 18:57:46,678.07
2023-04-27 18:57:48,683.50
2023-04-27 18:57:50,688.66
2023-04-27 18:57:52,693.27
2023-04-27 18:57:54,697.95
2023-04-27 18:57:56,702.93
2023-04-27 18:57:58,707.90
2023-04-27 18:58:00,712.71
2023-04-27 18:58:02,718.02
2023-04-27 18:58:04,723.60
2023-04-27 18:58:06,726.87
2023-04-27 18:58:08,731.90
2023-04-27 18:58:10,737.14
2023-04-27 18:58:12,742.03
2023-04-27 18:58:14,746.93

